Date,Total_Tweets
2019/05/06,4825
2019/05/07,5495
2019/05/08,4816
2019/05/09,3830
2019/05/10,4272
2019/05/11,5644
2019/05/12,4824
2019/05/13,5181
2019/05/14,6042
2019/05/15,6138
2019/05/16,6416
2019/05/17,5501
2019/05/18,4450
2019/05/19,4568
2019/05/20,5212
2019/05/21,5154
2019/05/22,4842
2019/05/23,4888
2019/05/24,7457
2019/05/25,7118
2019/05/26,6179
2019/05/27,6215
2019/05/28,6006
2019/05/29,5514
2019/05/30,6116
2019/05/31,5013
2019/06/01,4189
2019/06/02,3724
2019/06/03,5160
2019/06/04,5116
2019/06/05,4563
2019/06/06,4234
2019/06/07,3814
2019/06/08,3583
2019/06/09,4142
2019/06/10,4615
2019/06/11,4973
2019/06/12,7642
2019/06/13,9811
2019/06/14,8100
2019/06/15,6299
2019/06/16,8700
2019/06/17,9308
2019/06/18,7346
2019/06/19,6837
2019/06/20,6487
2019/06/21,6497
2019/06/22,5988
2019/06/23,4915
2019/06/24,6423
2019/06/25,5481
2019/06/26,6915
2019/06/27,5920
2019/06/28,5910
2019/06/29,5903
2019/06/30,4817
2019/07/01,5281
2019/07/02,5333
2019/07/03,9184
2019/07/04,6762
2019/07/05,4967
2019/07/06,4356
2019/07/07,4347
2019/07/08,5804
2019/07/09,7138
2019/07/10,8031
2019/07/11,6569
2019/07/12,5919
2019/07/13,5733
2019/07/14,5176
2019/07/15,5909
2019/07/16,6359
2019/07/17,6507
2019/07/18,5894
2019/07/19,5372
2019/07/20,4475
2019/07/21,4397
2019/07/22,5911
2019/07/23,5467
2019/07/24,5089
2019/07/25,4969
2019/07/26,5190
2019/07/27,4250
2019/07/28,4264
2019/07/29,5350
2019/07/30,7717
2019/07/31,10191
2019/08/01,5972
2019/08/02,5265
2019/08/03,4363
2019/08/04,4009
2019/08/05,4908
2019/08/06,4725
2019/08/07,4853
2019/08/08,4482
2019/08/09,4081
2019/08/10,3650
2019/08/11,3638
2019/08/12,4050
2019/08/13,4449
2019/08/14,4277
2019/08/15,4256
2019/08/16,4367
2019/08/17,3748
2019/08/18,3685
2019/08/19,4546
2019/08/20,4244
2019/08/21,4269
2019/08/22,4324
2019/08/23,4246
2019/08/24,3679
2019/08/25,3400
2019/08/26,4377
2019/08/27,4440
2019/08/28,4817
2019/08/29,4515
2019/08/30,4258
2019/08/31,3330
2019/09/01,2905
2019/09/02,3703
2019/09/03,3571
2019/09/04,3783
2019/09/05,3841
2019/09/06,3601
2019/09/07,3396
2019/09/08,3290
2019/09/09,3667
2019/09/10,4014
2019/09/11,3854
2019/09/12,4229
2019/09/13,3865
2019/09/14,3397
2019/09/15,3606
2019/09/16,4515
2019/09/17,4583
2019/09/18,4314
2019/09/19,4520
2019/09/20,4428
2019/09/21,3540
2019/09/22,3226
2019/09/23,4044
2019/09/24,4297
2019/09/25,4238
2019/09/26,3938
2019/09/27,3882
2019/09/28,3516
2019/09/29,3650
2019/09/30,4510
2019/10/01,3797
2019/10/02,3513
2019/10/03,3434
2019/10/04,3327
2019/10/05,3532
2019/10/06,3141
2019/10/07,4045
2019/10/08,4242
2019/10/09,4426
2019/10/10,4622
2019/10/11,4516
2019/10/12,3769
2019/10/13,3706
2019/10/14,4193
2019/10/15,4525
2019/10/16,3991
2019/10/17,3714
2019/10/18,3365
2019/10/19,3221
2019/10/20,3403
2019/10/21,3275
2019/10/22,3874
2019/10/23,3813
2019/10/24,3751
2019/10/25,3962
2019/10/26,3715
2019/10/27,3129
2019/10/28,3710
2019/10/29,4693
2019/10/30,4088
2019/10/31,4026
2019/11/01,3420
2019/11/02,3428
2019/11/03,3582
2019/11/04,4158
2019/11/05,3882
2019/11/06,4159
2019/11/07,3422
2019/11/08,3196
2019/11/09,3074
2019/11/10,3065
2019/11/11,3789
2019/11/12,3573
2019/11/13,3679
2019/11/14,3658
2019/11/15,4035
2019/11/16,3536
2019/11/17,3272
2019/11/18,3759
2019/11/19,5559
2019/11/20,4708
2019/11/21,4012
2019/11/22,4443
2019/11/23,3602
2019/11/24,3232
2019/11/25,3348
2019/11/26,3539
2019/11/27,4156
2019/11/28,3137
2019/11/29,3912
2019/11/30,3119
2019/12/01,3174
2019/12/02,3678
2019/12/03,3741
2019/12/04,3638
2019/12/05,3433
