,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,MA_20,MA_20_std,bollinger_up,bollinger_down
2021-01-10 13:59:59.999,2021-01-10 11:00:00,0.203,0.20414,0.196,0.20316,644275.3,2021-01-10 11:59:59.999,128674.83926900,892,265757.10000000,53274.41396400,0,0.19232849999999999,0.00799757415523116,0.2083236483104623,0.17633335168953768
2021-01-10 14:59:59.999,2021-01-10 12:00:00,0.20247,0.20704,0.19198,0.20519,753532.3,2021-01-10 12:59:59.999,150300.59242000,1045,342687.80000000,68531.38401200,0,0.193447,0.008160393501863962,0.20976778700372795,0.17712621299627207
2021-01-10 15:59:59.999,2021-01-10 13:00:00,0.2052,0.2052,0.1986,0.20083,364674.6,2021-01-10 13:59:59.999,73808.18705100,667,217976.80000000,44139.68767300,0,0.1942565,0.00804293758523591,0.21034237517047183,0.17817062482952817
2021-01-10 16:59:59.999,2021-01-10 14:00:00,0.20083,0.20083,0.1914,0.19369,530964.8,2021-01-10 14:59:59.999,104622.15881700,704,213202.80000000,42069.43356300,0,0.1947005,0.007733147704593074,0.21016679540918615,0.17923420459081385
2021-01-10 17:59:59.999,2021-01-10 15:00:00,0.19387,0.19899,0.19349,0.19647,379333.7,2021-01-10 15:59:59.999,74366.80029700,371,202308.30000000,39607.50705200,0,0.1951935,0.007501030999311501,0.210195561998623,0.180191438001377
2021-01-10 18:59:59.999,2021-01-10 16:00:00,0.19564,0.19695,0.192,0.1938,345962.4,2021-01-10 16:59:59.999,67473.93515100,365,201949.20000000,39474.44396100,0,0.19561800000000001,0.007144000500972498,0.209906001001945,0.18132999899805502
2021-01-10 19:59:59.999,2021-01-10 17:00:00,0.1938,0.1938,0.18511,0.18953,727180.7,2021-01-10 17:59:59.999,138139.97833000,994,330151.60000000,62770.35856500,0,0.1956945,0.007065896207171945,0.2098262924143439,0.1815627075856561
2021-01-10 20:59:59.999,2021-01-10 18:00:00,0.1896,0.19211,0.1846,0.18902,356181.1,2021-01-10 18:59:59.999,66961.20122000,486,166005.30000000,31243.61610800,0,0.195742,0.007014952901518788,0.20977190580303756,0.18171209419696244
2021-01-10 21:59:59.999,2021-01-10 19:00:00,0.18854,0.19743,0.18787,0.18872,209515.2,2021-01-10 19:59:59.999,40106.66130500,201,148059.70000000,28451.76764200,0,0.19604,0.00654531491743687,0.20913062983487374,0.18294937016512625
2021-01-10 22:59:59.999,2021-01-10 20:00:00,0.18872,0.19254,0.18375,0.19254,385699.4,2021-01-10 20:59:59.999,71918.08297500,509,221539.50000000,41369.65965000,0,0.19627750000000002,0.006312231964085418,0.20890196392817087,0.18365303607182917
2021-01-10 23:59:59.999,2021-01-10 21:00:00,0.19254,0.19697,0.18857,0.18997,214389.0,2021-01-10 21:59:59.999,41258.00581300,430,80977.70000000,15685.99516900,0,0.196418,0.006127170378086923,0.20867234075617386,0.18416365924382616
2021-01-11 00:59:59.999,2021-01-10 22:00:00,0.18998,0.19198,0.18998,0.1906,90043.8,2021-01-10 22:59:59.999,17198.82129000,134,35229.50000000,6721.09781600,0,0.19633499999999998,0.006197302044565807,0.2087296040891316,0.18394039591086836
2021-01-11 01:59:59.999,2021-01-10 23:00:00,0.19185,0.19373,0.19046,0.19312,115911.0,2021-01-10 23:59:59.999,22345.38984200,166,92487.00000000,17840.53791400,0,0.19645450000000003,0.006105903506572924,0.20866630701314587,0.1842426929868542
2021-01-11 02:59:59.999,2021-01-11 00:00:00,0.19314,0.1952,0.19001,0.19037,95085.3,2021-01-11 00:59:59.999,18256.49344200,175,39727.00000000,7646.19767000,0,0.1964315,0.006129027805623487,0.20868955561124697,0.18417344438875305
2021-01-11 03:59:59.999,2021-01-11 01:00:00,0.19036,0.19143,0.18751,0.18751,118471.0,2021-01-11 01:59:59.999,22378.92044400,133,40877.50000000,7724.94701600,0,0.1959065,0.006429060891558655,0.20876462178311733,0.1830483782168827
2021-01-11 04:59:59.999,2021-01-11 02:00:00,0.18793,0.18793,0.18375,0.18674,233109.3,2021-01-11 02:59:59.999,43393.53413600,353,72738.10000000,13556.84008800,0,0.1953495,0.006724850595092528,0.20879920119018508,0.18189979880981494
2021-01-11 05:59:59.999,2021-01-11 03:00:00,0.18676,0.18676,0.17711,0.18109,657741.5,2021-01-11 03:59:59.999,118993.10897800,599,314611.40000000,56983.89939200,0,0.194204,0.007113765306931751,0.2084315306138635,0.17997646938613648
2021-01-11 06:59:59.999,2021-01-11 04:00:00,0.18094,0.185,0.18,0.18357,168943.0,2021-01-11 04:59:59.999,30798.93104700,234,98208.30000000,17947.38158800,0,0.193346,0.007317166118108874,0.20798033223621773,0.17871166776378225
2021-01-11 07:59:59.999,2021-01-11 05:00:00,0.18499,0.185,0.1785,0.18054,145628.3,2021-01-11 05:59:59.999,26356.23403100,212,58296.90000000,10552.09824800,0,0.191973,0.006991832904784089,0.20595666580956817,0.17798933419043184
2021-01-11 08:59:59.999,2021-01-11 06:00:00,0.18059,0.18323,0.17356,0.17738,288177.4,2021-01-11 06:59:59.999,51254.86075200,561,146736.30000000,26142.48433200,0,0.19069200000000003,0.007208804996230968,0.20510960999246197,0.17627439000753808
2021-01-11 09:59:59.999,2021-01-11 07:00:00,0.17694,0.18491,0.17174,0.18487,253459.5,2021-01-11 07:59:59.999,45492.83953200,350,134203.80000000,24204.45050400,0,0.18977750000000002,0.006684975199733573,0.20314745039946716,0.17640754960053287
2021-01-11 10:59:59.999,2021-01-11 08:00:00,0.184,0.18592,0.18396,0.18501,110520.6,2021-01-11 08:59:59.999,20429.97235600,157,92672.80000000,17135.34332300,0,0.18876849999999998,0.005684286998754617,0.2001370739975092,0.17739992600249074
2021-01-11 11:59:59.999,2021-01-11 09:00:00,0.18495,0.18999,0.18,0.18338,106722.0,2021-01-11 09:59:59.999,19733.57624600,140,44699.70000000,8312.69593400,0,0.187896,0.00503797306777033,0.19797194613554067,0.17782005386445934
2021-01-11 12:59:59.999,2021-01-11 10:00:00,0.18452,0.18857,0.18193,0.18319,33412.4,2021-01-11 10:59:59.999,6167.75992600,101,22117.80000000,4082.32408600,0,0.187371,0.00494871477201274,0.1972684295440255,0.17747357045597453
2021-01-11 13:59:59.999,2021-01-11 11:00:00,0.18178,0.18178,0.1759,0.17738,63811.0,2021-01-11 11:59:59.999,11368.74403000,163,15381.80000000,2748.68916100,0,0.1864165,0.004942366016606373,0.19630123203321276,0.17653176796678727
2021-01-11 14:59:59.999,2021-01-11 12:00:00,0.17742,0.17894,0.16984,0.17621,491097.6,2021-01-11 12:59:59.999,84951.51940100,573,328769.30000000,56707.96195400,0,0.185537,0.005121157455518314,0.19577931491103664,0.17529468508896337
2021-01-11 15:59:59.999,2021-01-11 13:00:00,0.17603,0.17794,0.17053,0.17394,300372.6,2021-01-11 13:59:59.999,52245.81085400,458,155429.30000000,27091.34859600,0,0.18475750000000002,0.005641447999079323,0.19604039599815867,0.17347460400184136
2021-01-11 16:59:59.999,2021-01-11 14:00:00,0.17401,0.17889,0.16989,0.17582,198104.0,2021-01-11 14:59:59.999,34175.22854600,387,94330.60000000,16225.82039000,0,0.1840975,0.00588347719867841,0.1958644543973568,0.1723305456026432
2021-01-11 17:59:59.999,2021-01-11 15:00:00,0.17585,0.17717,0.167,0.16959,152073.6,2021-01-11 15:59:59.999,25942.46258800,295,64072.30000000,10898.46877300,0,0.183141,0.00660340016084221,0.19634780032168442,0.16993419967831558
2021-01-11 18:59:59.999,2021-01-11 16:00:00,0.16967,0.16971,0.16105,0.16801,422596.0,2021-01-11 16:59:59.999,70143.26846600,513,247849.80000000,41158.59539800,0,0.1819145,0.00703005912605221,0.19597461825210444,0.16785438174789558
2021-01-11 19:59:59.999,2021-01-11 17:00:00,0.16818,0.17499,0.16717,0.1707,77958.7,2021-01-11 17:59:59.999,13381.27890000,143,37349.90000000,6390.10854800,0,0.180951,0.007186684251190974,0.19532436850238194,0.16657763149761806
2021-01-11 20:59:59.999,2021-01-11 18:00:00,0.17069,0.17297,0.16811,0.16811,20708.1,2021-01-11 18:59:59.999,3536.50462700,69,2354.60000000,405.04541600,0,0.17982650000000003,0.007354977745145092,0.19453645549029022,0.16511654450970983
2021-01-11 21:59:59.999,2021-01-11 19:00:00,0.16979,0.16979,0.1616,0.16406,410298.2,2021-01-11 19:59:59.999,67455.94526400,372,298357.70000000,48960.31422100,0,0.1783735,0.007460278868076876,0.19329405773615374,0.16345294226384624
2021-01-11 22:59:59.999,2021-01-11 20:00:00,0.16448,0.16853,0.164,0.16853,56116.6,2021-01-11 20:59:59.999,9341.02054100,51,29763.40000000,4985.85932800,0,0.1772815,0.007205950227708441,0.19169340045541688,0.16286959954458313
2021-01-11 23:59:59.999,2021-01-11 21:00:00,0.16884,0.17054,0.16757,0.16942,76207.0,2021-01-11 21:59:59.999,12898.49263100,117,31101.70000000,5277.97936000,0,0.176377,0.006986480252300896,0.1903499605046018,0.16240403949539822
2021-01-12 00:59:59.999,2021-01-11 22:00:00,0.16915,0.17346,0.16757,0.17215,48822.0,2021-01-11 22:59:59.999,8338.78646000,85,29949.50000000,5132.68923100,0,0.1756475,0.006598403215930429,0.18884430643186087,0.16245069356813915
2021-01-12 01:59:59.999,2021-01-11 23:00:00,0.17195,0.17325,0.16277,0.16788,154663.7,2021-01-11 23:59:59.999,26135.02005800,144,36223.00000000,6158.86989500,0,0.174987,0.006685520961474649,0.1883580419229493,0.1616159580770507
