,open_time,close_time,open,high,low,close,volume,num_trades,MA_20,STD_20,Price_Change,Price_Change%,Change,bollinger_up,bollinger_down,above_bound,below_bound,cross_bounds
2021-05-30 02:59:59.999,2021-05-29 00:00:00.000,2021-05-29 23:59:59.999,40.593,69.0,39.724,54.604,1149115.843,217746,51.87065,11.269476218506119,14.06,34.69,Increase,77.14295243701224,32.06504756298776,False,False,neutral
2021-05-31 02:59:59.999,2021-05-30 00:00:00.000,2021-05-30 23:59:59.999,54.599,66.8,50.2,52.68,698905.51,179215,51.51890000000001,11.120553398289665,-1.92,-3.52,Neutral,74.92110679657932,30.43889320342067,False,False,neutral
2021-06-01 02:59:59.999,2021-05-31 00:00:00.000,2021-05-31 23:59:59.999,52.716,54.716,50.206,52.2,150416.007,45831,50.860400000000006,10.636595049762537,-0.48,-0.91,Neutral,73.47319009952508,30.92680990047493,False,False,neutral
2021-06-02 02:59:59.999,2021-06-01 00:00:00.000,2021-06-01 23:59:59.999,52.221,53.296,48.354,49.232,94969.209,30761,50.4076,10.495582576543999,-2.97,-5.69,Decrease,70.22316515308799,28.240834846912,False,False,neutral
2021-06-03 02:59:59.999,2021-06-02 00:00:00.000,2021-06-02 23:59:59.999,49.233,50.689,48.379,49.331,59096.826,21081,50.0857,10.420955315840203,0.1,0.2,Neutral,70.17291063168041,28.489089368319597,False,False,neutral
2021-06-04 02:59:59.999,2021-06-03 00:00:00.000,2021-06-03 23:59:59.999,49.289,54.0,48.645,50.174,95807.42,30754,49.68105,10.242145074846961,0.84,1.71,Neutral,70.65829014969393,29.689709850306077,False,False,neutral
2021-06-05 02:59:59.999,2021-06-04 00:00:00.000,2021-06-04 23:59:59.999,50.123,50.3,45.001,47.169,70198.972,20995,49.32045,10.194811365927448,-3.01,-5.99,Decrease,67.5586227318549,26.7793772681451,False,False,neutral
2021-06-06 02:59:59.999,2021-06-05 00:00:00.000,2021-06-05 23:59:59.999,47.199,56.5,46.036,48.756,270385.918,73215,47.94825,7.996377916051567,1.59,3.36,Neutral,64.74875583210313,32.763244167896865,False,False,neutral
2021-06-07 02:59:59.999,2021-06-06 00:00:00.000,2021-06-06 23:59:59.999,48.688,52.826,47.5,48.327,125274.655,35748,47.024950000000004,6.660442244483972,-0.43,-0.88,Neutral,61.64788448896795,35.00611551103205,False,False,neutral
2021-06-08 02:59:59.999,2021-06-07 00:00:00.000,2021-06-07 23:59:59.999,48.267,49.559,43.023,43.587,52580.684,17438,46.106399999999994,5.68847941387738,-4.74,-9.81,Decrease,54.963958827754766,32.21004117224524,False,False,neutral
2021-06-09 02:59:59.999,2021-06-08 00:00:00.000,2021-06-08 23:59:59.999,43.683,45.025,39.675,42.669,62816.84,16791,46.2143,5.596481658854625,-0.92,-2.11,Neutral,53.86196331770925,31.476036682290747,False,False,neutral
2021-06-10 02:59:59.999,2021-06-09 00:00:00.000,2021-06-09 23:59:59.999,42.588,50.236,40.6,45.728,507242.682,51636,46.06895,5.567980352685902,3.06,7.17,Increase,56.86396070537181,34.592039294628194,False,False,neutral
2021-06-11 02:59:59.999,2021-06-10 00:00:00.000,2021-06-10 23:59:59.999,45.848,46.187,40.195,40.86,70796.793,16131,46.092349999999996,5.543797608470722,-4.87,-10.65,Decrease,51.947595216941444,29.772404783058555,False,False,neutral
2021-06-12 02:59:59.999,2021-06-11 00:00:00.000,2021-06-11 23:59:59.999,40.986,42.618,38.657,39.169,53912.703,11916,46.1551,5.452709426948986,-1.69,-4.14,Neutral,50.07441885389797,28.263581146102027,False,False,neutral
2021-06-13 02:59:59.999,2021-06-12 00:00:00.000,2021-06-12 23:59:59.999,39.085,39.964,36.185,38.292,47286.564,10994,46.3531,5.058433967148477,-0.88,-2.24,Neutral,48.40886793429696,28.175132065703046,False,False,neutral
2021-06-14 02:59:59.999,2021-06-13 00:00:00.000,2021-06-13 23:59:59.999,38.397,40.032,36.506,39.456,49973.21,10382,46.30975,5.116215849475326,1.16,3.04,Neutral,49.68843169895065,29.22356830104935,False,False,neutral
2021-06-15 02:59:59.999,2021-06-14 00:00:00.000,2021-06-14 23:59:59.999,39.52,41.488,38.965,40.693,26974.291,7104,46.21875,5.2027552303412845,1.24,3.14,Neutral,51.09851046068257,30.287489539317427,False,False,neutral
2021-06-16 02:59:59.999,2021-06-15 00:00:00.000,2021-06-15 23:59:59.999,40.693,43.9,40.293,40.739,43555.761,11140,45.59654999999999,5.068420302795635,0.05,0.11,Neutral,50.875840605591264,30.602159394408726,False,False,neutral
2021-06-17 02:59:59.999,2021-06-16 00:00:00.000,2021-06-16 23:59:59.999,40.716,42.3,38.086,38.339,70129.004,12427,45.12735,5.290687312578134,-2.4,-5.89,Decrease,48.92037462515627,27.75762537484373,False,False,neutral
2021-06-18 02:59:59.999,2021-06-17 00:00:00.000,2021-06-17 23:59:59.999,38.403,42.21,38.294,38.655,42693.068,9984,45.033,5.392606605344169,0.32,0.82,Neutral,49.44021321068834,27.86978678931166,False,False,neutral
2021-06-19 02:59:59.999,2021-06-18 00:00:00.000,2021-06-18 23:59:59.999,38.626,40.495,38.0,38.644,293073.071,38922,44.235,5.073165284120124,-0.01,-0.03,Neutral,48.79033056824025,28.49766943175975,False,False,neutral
2021-06-20 02:59:59.999,2021-06-19 00:00:00.000,2021-06-19 23:59:59.999,38.599,38.928,36.226,36.545,163223.534,23999,43.428250000000006,4.940723779015377,-2.1,-5.43,Decrease,46.42644755803076,26.663552441969248,False,False,neutral
2021-06-21 02:59:59.999,2021-06-20 00:00:00.000,2021-06-20 23:59:59.999,36.548,37.394,35.069,36.703,52612.591,8025,42.6534,4.702081380119327,0.16,0.43,Neutral,46.10716276023866,27.298837239761347,False,False,neutral
2021-06-22 02:59:59.999,2021-06-21 00:00:00.000,2021-06-21 23:59:59.999,36.584,36.728,30.001,30.393,39758.917,7576,41.71145,5.177765474909005,-6.31,-17.19,Decrease,40.74853094981801,20.03746905018199,False,False,neutral
2021-06-23 02:59:59.999,2021-06-22 00:00:00.000,2021-06-22 23:59:59.999,30.283,33.384,23.143,27.299,161930.381,21368,40.60985,5.78003174526902,-3.09,-10.18,Decrease,38.85906349053804,15.73893650946196,False,False,neutral
2021-06-24 02:59:59.999,2021-06-23 00:00:00.000,2021-06-23 23:59:59.999,27.359,31.103,26.602,28.77,57480.161,9585,39.53965,5.89633737586325,1.47,5.39,Increase,40.5626747517265,16.9773252482735,False,False,neutral
2021-06-25 02:59:59.999,2021-06-24 00:00:00.000,2021-06-24 23:59:59.999,28.598,29.544,27.38,28.639,20719.877,3677,38.613150000000005,6.087166130691157,-0.13,-0.46,Neutral,40.813332261382314,16.464667738617685,False,False,neutral
2021-06-26 02:59:59.999,2021-06-25 00:00:00.000,2021-06-25 23:59:59.999,28.636,29.476,26.563,26.838,33722.545,5358,37.517250000000004,6.137782274568073,-1.8,-6.29,Decrease,39.11356454913614,14.562435450863855,False,False,neutral
2021-06-27 02:59:59.999,2021-06-26 00:00:00.000,2021-06-26 23:59:59.999,26.732,28.002,25.566,27.111,201950.462,16668,36.456450000000004,6.003106498218189,0.27,1.02,Neutral,39.11721299643638,15.104787003563622,False,False,neutral
2021-06-28 02:59:59.999,2021-06-27 00:00:00.000,2021-06-27 23:59:59.999,27.17,28.783,26.751,28.404,91330.048,9401,35.6973,6.013928999458544,1.29,4.77,Neutral,40.43185799891709,16.37614200108291,False,False,neutral
2021-06-29 02:59:59.999,2021-06-28 00:00:00.000,2021-06-28 23:59:59.999,28.404,29.923,27.62,29.109,100724.413,11498,35.0193,5.950616572211307,0.71,2.48,Neutral,41.010233144422614,17.20776685557739,False,False,neutral
2021-06-30 02:59:59.999,2021-06-29 00:00:00.000,2021-06-29 23:59:59.999,29.158,30.98,28.672,29.356,72020.811,8396,34.2007,5.5097115513381985,0.25,0.85,Neutral,40.3754231026764,18.336576897323603,False,False,neutral
2021-07-01 02:59:59.999,2021-06-30 00:00:00.000,2021-06-30 23:59:59.999,29.346,43.5,27.914,36.104,719268.723,107396,33.962900000000005,5.306038287203117,6.75,22.99,Increase,46.71607657440623,25.491923425593765,False,False,neutral
2021-07-02 02:59:59.999,2021-07-01 00:00:00.000,2021-07-01 23:59:59.999,36.114,36.13,32.0,33.364,233071.464,39471,33.67265,5.1631136390749965,-2.74,-7.59,Decrease,43.69022727814999,23.037772721850004,False,False,neutral
2021-07-03 02:59:59.999,2021-07-02 00:00:00.000,2021-07-02 23:59:59.999,33.292,33.449,30.612,31.7,63236.221,11210,33.34305,5.062126331628903,-1.66,-4.99,Neutral,41.82425266325781,21.575747336742193,False,False,neutral
2021-07-04 02:59:59.999,2021-07-03 00:00:00.000,2021-07-03 23:59:59.999,31.7,33.083,31.114,31.834,49436.323,7884,32.961949999999995,4.860591619556982,0.13,0.42,Neutral,41.555183239113965,22.112816760886034,False,False,neutral
2021-07-05 02:59:59.999,2021-07-04 00:00:00.000,2021-07-04 23:59:59.999,31.822,33.935,31.173,32.22,100990.605,15590,32.5383,4.507732749048509,0.39,1.21,Neutral,41.235465498097014,23.20453450190298,False,False,neutral
2021-07-06 02:59:59.999,2021-07-05 00:00:00.000,2021-07-05 23:59:59.999,32.2,35.442,31.24,33.434,146210.621,23397,32.17305,4.084348063355269,1.21,3.77,Neutral,41.60269612671053,25.26530387328946,False,False,neutral
2021-07-07 02:59:59.999,2021-07-06 00:00:00.000,2021-07-06 23:59:59.999,33.52,34.806,32.459,33.003,93890.097,14459,31.90625,3.8265163196750147,-0.43,-1.29,Neutral,40.65603263935003,25.34996736064997,False,False,neutral
2021-07-08 02:59:59.999,2021-07-07 00:00:00.000,2021-07-07 23:59:59.999,32.931,34.5,32.68,33.087,261036.686,26744,31.627850000000002,3.4981252764877353,0.08,0.25,Neutral,40.08325055297547,26.090749447024532,False,False,neutral
2021-07-09 02:59:59.999,2021-07-08 00:00:00.000,2021-07-08 23:59:59.999,33.026,33.12,30.0,30.369,35030.729,7429,31.214100000000002,3.0901821595093373,-2.72,-8.21,Decrease,36.54936431901867,24.188635680981324,False,False,neutral
2021-07-10 02:59:59.999,2021-07-09 00:00:00.000,2021-07-09 23:59:59.999,30.291,34.587,30.0,32.114,50991.295,13093,30.992550000000005,2.8362774616521773,1.74,5.75,Increase,37.78655492330435,26.441445076695643,False,False,neutral
2021-07-11 02:59:59.999,2021-07-10 00:00:00.000,2021-07-10 23:59:59.999,32.082,32.882,30.677,31.377,26154.059,6856,30.72625,2.5022639827716286,-0.74,-2.29,Neutral,36.381527965543256,26.37247203445674,False,False,neutral
2021-07-12 02:59:59.999,2021-07-11 00:00:00.000,2021-07-11 23:59:59.999,31.377,32.6,31.051,31.518,56346.532,9511,30.782500000000006,2.50701864246891,0.14,0.45,Neutral,36.53203728493782,26.50396271506218,False,False,neutral
2021-07-13 02:59:59.999,2021-07-12 00:00:00.000,2021-07-12 23:59:59.999,31.437,32.184,29.412,31.079,35906.105,7784,30.9715,2.3692817810250366,-0.44,-1.39,Neutral,35.817563562050076,26.340436437949926,False,False,neutral
2021-07-14 02:59:59.999,2021-07-13 00:00:00.000,2021-07-13 23:59:59.999,31.138,36.66,30.995,31.586,175828.47,47135,31.112299999999998,2.3146096885930336,0.51,1.63,Neutral,36.21521937718607,26.95678062281393,True,False,above
2021-07-15 02:59:59.999,2021-07-14 00:00:00.000,2021-07-14 23:59:59.999,31.654,31.99,28.88,31.401,118569.924,16851,31.250399999999996,2.2404844964761046,-0.18,-0.59,Neutral,35.88196899295221,26.92003100704779,False,False,neutral
2021-07-16 02:59:59.999,2021-07-15 00:00:00.000,2021-07-15 23:59:59.999,31.401,31.891,29.909,30.23,34620.817,7077,31.419999999999998,2.00489275208696,-1.17,-3.73,Neutral,34.23978550417392,26.22021449582608,False,False,neutral
2021-07-17 02:59:59.999,2021-07-16 00:00:00.000,2021-07-16 23:59:59.999,30.263,34.0,29.643,32.9,75544.798,15018,31.709449999999997,1.7519852941891427,2.67,8.83,Increase,36.403970588378286,29.39602941162171,False,False,neutral
