,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,MA_20,MA_20_std
2021-01-09 08:59:59.999,2021-01-09 06:00:00,26.836,26.897,26.297,26.56,429.511,2021-01-09 06:59:59.999,11442.02034300,135,179.13500000,4790.76134200,0,26.995350000000002,0.3942546965978664
2021-01-09 09:59:59.999,2021-01-09 07:00:00,26.551,27.23,26.549,27.086,680.458,2021-01-09 07:59:59.999,18266.50506400,185,305.52400000,8244.90429500,0,26.97835,0.38184293753763526
2021-01-09 10:59:59.999,2021-01-09 08:00:00,27.051,27.215,26.949,27.208,88.565,2021-01-09 08:59:59.999,2398.60410400,61,60.21000000,1632.44529600,0,26.9549,0.3497296549893207
2021-01-09 11:59:59.999,2021-01-09 09:00:00,27.194,27.327,27.0,27.105,382.472,2021-01-09 09:59:59.999,10389.03456400,154,188.15300000,5116.77736200,0,26.9355,0.3284218243918087
2021-01-09 12:59:59.999,2021-01-09 10:00:00,27.217,27.455,27.0,27.357,481.86,2021-01-09 10:59:59.999,13172.08788700,117,275.96400000,7553.67731500,0,26.9397,0.33346349914669793
2021-01-09 13:59:59.999,2021-01-09 11:00:00,27.405,27.48,27.0,27.006,710.872,2021-01-09 11:59:59.999,19350.68411900,257,191.34900000,5229.31061200,0,26.931400000000004,0.3294185307796975
2021-01-09 14:59:59.999,2021-01-09 12:00:00,27.008,27.479,27.005,27.291,429.568,2021-01-09 12:59:59.999,11698.84827600,127,205.14800000,5578.55586000,0,26.922000000000004,0.3153522675224976
2021-01-09 15:59:59.999,2021-01-09 13:00:00,27.407,27.434,27.147,27.147,919.48,2021-01-09 13:59:59.999,25100.01784100,253,286.93300000,7837.10292100,0,26.91175,0.30375871224239775
2021-01-09 16:59:59.999,2021-01-09 14:00:00,27.29,27.948,27.253,27.498,1232.038,2021-01-09 14:59:59.999,34119.67911800,470,535.81000000,14799.05942400,0,26.935899999999997,0.3304288919443651
2021-01-09 17:59:59.999,2021-01-09 15:00:00,27.46,27.899,27.297,27.521,565.104,2021-01-09 15:59:59.999,15532.71740700,266,129.70900000,3580.09514700,0,26.965750000000003,0.3553250365214212
2021-01-09 18:59:59.999,2021-01-09 16:00:00,27.458,27.68,27.0,27.332,1989.522,2021-01-09 16:59:59.999,54317.28266300,854,843.55400000,23090.64238400,0,26.992150000000002,0.3622225653408513
2021-01-09 19:59:59.999,2021-01-09 17:00:00,27.343,27.75,27.267,27.503,1212.045,2021-01-09 17:59:59.999,33416.33968200,556,604.84600000,16706.37330300,0,27.0394,0.3642388458719189
2021-01-09 20:59:59.999,2021-01-09 18:00:00,27.589,27.777,27.231,27.533,1306.424,2021-01-09 18:59:59.999,35892.87253500,621,469.70400000,12945.68554500,0,27.0707,0.3788657726480622
2021-01-09 21:59:59.999,2021-01-09 19:00:00,27.533,28.299,27.36,28.299,2502.828,2021-01-09 19:59:59.999,69549.09925500,949,1016.35200000,28312.41231500,0,27.1584,0.4475536310115053
2021-01-09 22:59:59.999,2021-01-09 20:00:00,28.197,29.0,27.599,28.295,3892.009,2021-01-09 20:59:59.999,110119.30084000,1266,1658.83400000,47115.85294000,0,27.250999999999998,0.4820104825241492
2021-01-09 23:59:59.999,2021-01-09 21:00:00,28.223,28.49,28.052,28.33,954.341,2021-01-09 21:59:59.999,26976.10248900,470,494.92400000,14011.52918100,0,27.34255,0.5049990594050705
2021-01-10 00:59:59.999,2021-01-09 22:00:00,28.253,28.335,27.913,28.049,529.739,2021-01-09 22:59:59.999,14892.13240000,183,103.19300000,2906.00462500,0,27.410050000000002,0.5046753490064118
2021-01-10 01:59:59.999,2021-01-09 23:00:00,28.08,28.283,27.679,28.156,3430.379,2021-01-09 23:59:59.999,96022.26979000,1276,1164.70500000,32694.54408300,0,27.47905,0.5077529937199642
2021-01-10 02:59:59.999,2021-01-10 00:00:00,28.156,28.383,27.8,28.307,2313.914,2021-01-10 00:59:59.999,65099.68782300,813,906.38700000,25581.65763200,0,27.52035,0.5404594804423429
2021-01-10 03:59:59.999,2021-01-10 01:00:00,28.307,30.139,28.22,30.139,7087.846,2021-01-10 01:59:59.999,206285.10549100,2529,3480.30600000,101299.83243300,0,27.6861,0.7736718942807789
2021-01-10 04:59:59.999,2021-01-10 02:00:00,30.18,30.895,29.121,30.0,7340.575,2021-01-10 02:59:59.999,220816.81068300,2169,2803.48900000,84542.61951500,0,27.8581,0.8845798229430198
2021-01-10 05:59:59.999,2021-01-10 03:00:00,30.002,31.117,28.316,28.69,10314.771,2021-01-10 03:59:59.999,306397.88670800,2314,4351.34500000,130598.87565400,0,27.938299999999998,0.8836058361533272
2021-01-10 06:59:59.999,2021-01-10 04:00:00,28.69,29.109,28.247,28.916,2213.167,2021-01-10 04:59:59.999,63346.70303800,755,1144.65700000,32856.62984100,0,28.0237,0.8918083992947374
2021-01-10 07:59:59.999,2021-01-10 05:00:00,28.924,30.655,28.774,30.234,5361.88,2021-01-10 05:59:59.999,158849.82583800,1250,2814.00200000,83087.30659800,0,28.180150000000005,0.9910920757586504
2021-01-10 08:59:59.999,2021-01-10 06:00:00,30.332,30.332,29.46,29.697,2598.365,2021-01-10 06:59:59.999,76823.57986700,514,519.82600000,15413.58459500,0,28.29715,1.026298524078802
2021-01-10 09:59:59.999,2021-01-10 07:00:00,29.698,29.863,29.255,29.29,2145.281,2021-01-10 07:59:59.999,63190.72366900,342,667.07800000,19675.45711400,0,28.41135,1.0018491994412455
2021-01-10 10:59:59.999,2021-01-10 08:00:00,29.308,29.553,29.0,29.059,2095.287,2021-01-10 08:59:59.999,61211.47148900,482,582.74900000,17023.56703500,0,28.49975,0.9754434821362626
2021-01-10 11:59:59.999,2021-01-10 09:00:00,29.059,29.5,29.051,29.22,1087.207,2021-01-10 09:59:59.999,31798.87403900,368,370.34900000,10853.66946500,0,28.6034,0.9333660307555836
2021-01-10 12:59:59.999,2021-01-10 10:00:00,29.219,29.219,28.0,28.6,1473.027,2021-01-10 10:59:59.999,41961.48692300,267,601.89400000,17156.52641500,0,28.658500000000004,0.8964741755167479
2021-01-10 13:59:59.999,2021-01-10 11:00:00,28.507,28.507,28.0,28.0,1204.881,2021-01-10 11:59:59.999,33837.40056700,163,366.52000000,10309.71931700,0,28.68245,0.8705079264429543
2021-01-10 14:59:59.999,2021-01-10 12:00:00,28.001,28.049,27.5,27.955,1582.559,2021-01-10 12:59:59.999,44004.47109200,391,423.78200000,11746.43075000,0,28.713599999999996,0.829836978283282
